Crop,ScientificName,Symbol,NuContAvailable,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,YieldUnitWeight(lb)_Bau,YieldUnitWeight(lb)_Joh,YieldUnitWeight(lb)_Roberts,YieldUnitWeight(lb)_WEEP,YieldUnitWeight(lb)_Men,YieldUnitWeight(lb)_Guy,YieldUnitWeight(lb)_Mc,YieldUnitWeight(lb)_Mah,YieldUnitWeight(lb)_Sha,YieldUnitWeight(lb)_Sch,YieldUnitWeight(lb)_Atu,YieldUnitWeight(lb)_Zim,YieldUnitWeight(lb)_Scu,YieldUnitWeight(lb)_John,YieldUnitWeight(lb)_Arc,DryMatter%_M-FF,DryMatter%_NAS,DryMatter%_F&L,DryMatter%_F&N,DryMatter%_Alb,DryMatter%_Est1,DryMatter%_Est2,DryMatter%_Est3,DryMatter%_Est4,DryMatter%_Est5,DryMatter%_Est6,DryMatter%_M&R,DryMatter%_M&L,DryMatter%_Sun,DryMatter%_Gro,DryMatter%_AgH8-9,DryMatter%_AgH8-12,DryMatter%_B788,AvDryMatter%,N%(dry)_NAS,N%(dry)_F&L,N%(dry)_F&N,N%(dry)_Swa,N%(dry)_Chapko,N%(dry)_Hill,N%(dry)_Bru,N%(dry)_AgH8-9,N%(dry)_AgH8-12,N%(dry)_B788,N%(dry)_M&L,N%(dry)_M-FF,N%(dry)_M&R,N%(dry)_Foster,N%(dry)_Rob1,N%(dry)_Rob2,N%(dry)_Coa,N%(dry)_And,N%(dry)_Gol1,N%(dry)_Gol2,N%(dry)_Wol,N%(dry)_Pete,N%(dry)_Col,N%(dry)_Alb,N%(dry)_Arc,N%(dry)_Bis,N%(dry)_Gar,N%(dry)_Heg,N%(dry)_Flo,N%(dry)_Feil,N%(dry)_Bre,N%(dry)_Burns,N%(dry)_Coc,P%(dry)_M-FF,P%(dry)_NAS,P%(dry)_F&L,P%(dry)_F&N,P%(dry)_AgH8-9,P%(dry)_AgH8-12,P%(dry)_B788,P%(dry)_M&L,P%(dry)_L&V,P%(dry)_Foster,P%(dry)_Rob1,P%(dry)_Rob2,P%(dry)_Coa,P%(dry)_And,P%(dry)_Gol1,P%(dry)_Gol2,P%(dry)_Sims,P%(dry)_Wol,P%(dry)_Pete,P%(dry)_Col,P%(dry)_Alb,P%(dry)_Arc,P%(dry)_Swa,P%(dry)_Rei,K%(dry)_M-FF,K%(dry)_NAS,K%(dry)_F&L,K%(dry)_F&N,K%(dry)_AgH8-9,K%(dry)_AgH8-12,K%(dry)_B788,K%(dry)_Foster,K%(dry)_Rob1,K%(dry)_Rob2,K%(dry)_Coa,K%(dry)_And,K%(dry)_Gol1,K%(dry)_Gol2,K%(dry)_Sims,K%(dry)_Wol,K%(dry)_Pete,K%(dry)_Col,K%(dry)_Alb,K%(dry)_Arc,K%(dry)_Swa,K%(dry)_Rei,Moisture%_M&R,Moisture%_M&L,Moisture%_Sun,Moisture%_Gro,gWater/100g_AgH8-9,gWater/100g_AgH8-12,gWater/100g_B788,Protein%(dry)_NAS,Protein%(dry)_F&L,Protein%(dry)_F&N,Protein%(dry)_Swa,Protein%(dry)_Chapko,Protein%(dry)_Hill,Protein%(dry)_Bru,Protein%(dry)_Bis,Protein%(dry)_Gar,Protein%(dry)_Heg,Protein%(dry)_Flo,Protein%(dry)_Feil,Protein%(dry)_Bre,Protein%(dry)_Burns,gProtein/100g(wet)_AgH8-9,gProtein/100g(wet)_AgH8-12,gProtein/100g(wet)_B788,Protein%(wet)_M&L,N%(wet)_M-FF,P%(wet)_M-FF,gP/100g(wet)_AgH8-9,gP/100g(wet)_AgH8-12,gP/100g(wet)_B788,P%(wet)_M&L,K%(wet)_M-FF,gK/100g(wet)_AgH8-9,gK/100g(wet)_AgH8-12,gK/100g(wet)_B788,
"Bromegrass-Smooth, for green chop (pre bloom)",Bromus inermis,BRIN2,N,Aboveground biomass,Forage,ton,2000,74.7,3.024,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,25,,25.6,,,,,,,,,,,,,,,,25.3,,2.768,,,,,,,,,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,
"Bromegrass-Smooth, for hay",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,10.48,2.027342342,0.230990991,2.203761261,"2,000",,,,,,,,,,,,,,,,88.8,89.7,89.6,90,,,,,,,,,,,,,,,89.53,1.872,2.144,2.224,,,,,,,,,1.869369369,,,,,,,,,,,,,,,,,,,,,,0.213963964,0.19,0.26,0.26,,,,,,,,,,,,,,,,,,,,,2.545045045,2.07,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,13.4,13.9,,,,,,,,,,,,,,,,1.66,0.19,,,,,2.26,,,,
"Bromegrass-Smooth, for hay (full bloom)",Bromus inermis,BRIN2,"N,K",Aboveground biomass,Forage,ton,2000,10.63,1.661863014,#DIV/0!,1.43,"2,000",,,,,,,,,,,,,,,,87.6,90.1,90.4,,,,,,,,,,,,,,,,89.37,1.696,1.68,,,,,,,,,,1.609589041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,10.5,,,,,,,,,,,,,,,,,1.41,,,,,,,,,,
"Bromegrass-Smooth, for hay (mature)",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,6.83,0.98,0.192765957,2.305,"2,000",,,,,,,,,,,,,,,,94,92.9,92.6,,,,,,,,,,,,,,,,93.17,,0.96,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.138297872,0.22,0.22,,,,,,,,,,,,,,,,,,,,,,,2.76,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,0.94,0.13,,,,,,,,,
"Bromegrass-Smooth, for hay (mid bloom)",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,12.4,1.968,0.28,1.99,"2,000",,,,,,,,,,,,,,,,,87.6,87.6,,,,,,,,,,,,,,,,87.6,1.6,2.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bromegrass-Smooth, for hay (late vegetative)",Bromus inermis,BRIN2,"N,P,K",Aboveground biomass,Forage,ton,2000,8.8,3.152,0.46,3.41,"2,000",,,,,,,,,,,,,,,,,,91.2,,,,,,,,,,,,,,,,91.2,,3.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bromegrass-Smooth, for hay (pre bloom)",Bromus inermis,BRIN2,N,Aboveground biomass,Forage,ton,2000,9.7,1.93145515,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,90.3,90.3,,,,,,,,,,,,,,,,,90.3,1.936,,,,,,,,,,,1.926910299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,19.7,,,,,,,,,,,,,,,,,1.74,,,,,,,,,,
"Bromegrsss, for hay (late bloom)",Bromus sp.,BROMU,"N,P,K",Aboveground biomass,Forage,ton,2000,12.9,1.192,0.35,2.32,"2,000",,,,,,,,,,,,,,,,,85.4,88.8,,,,,,,,,,,,,,,,87.1,0.992,1.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brussel Sprouts, for bud",Brassica oleracea var.gemmifera,BROLG,"N,P,K",Bud,Vegetable,lb of fruit ,1,86.6,4.981333333,0.5125,3.25,25,,,,,,,,,,,,,,,,,14.8,,,,,,,,,,,,,,,,12,13.4,5.296,,,,,,,,,4.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.575,,0.45,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,88,33.1,,,,,,,,,,,,,,,,3.5,,,,,,0.069,,,,,0.39,
"Buckwheat (ordinary cultivars), for grain",Fagopyrum sp.,FAGOP2,"N,P,K",Seed,Cereal and oil,bu,48,12.2,1.937932723,0.360568182,0.510340909,48,,,,,,,,,,,,,,,,88,87.7,87.9,88,,,,,,,,,87.4,,,,,,87.8,1.936,2.032,2.016,,,,,,,,1.830663616,1.875,,,,,,,,,,,,,,,,,,,,,,0.352272727,0.35,0.37,0.37,,,,,,,,,,,,,,,,,,,,,0.511363636,0.51,0.51,0.51,,,,,,,,,,,,,,,,,,,,12.6,,,,,,12.1,12.7,12.6,,,,,,,,,,,,,,,10,1.65,0.31,,,,,0.45,,,,
"Buckwheat (ordinary cultivars), for straw",Fagopyrum sp.,FAGOP2,"N,P,K",Straw,Cereal and oil,ton,2000,11.32,0.791639892,0.101286682,2.619334086,"2,000",,,,,,,,,,,,,,,,88.6,88.3,88.4,88,,,,,,,,,90.1,,,,,,88.68,0.784,0.736,0.736,,,,,,,,0.923418424,0.778781038,,,,,,,,,,,,,,,,,,,,,,0.045146727,0.12,0.12,0.12,,,,,,,,,,,,,,,,,,,,,2.257336343,2.74,2.74,2.74,,,,,,,,,,,,,,,,,,,,9.9,,,,,,4.9,4.6,4.6,,,,,,,,,,,,,,,5.2,0.69,0.04,,,,,2,,,,
Butternut (dry),Juglans cinerea,JUCI,"N,P,K",Nut,Tree and fruit,lb of nut,1,3.34,4.121663563,0.461411132,0.435547279,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.66,,96.66,,,,,,,,,4.121663563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.461411132,,,,,,,,,,,,,,,,,,,,,,,,0.435547279,,,,,,,,,,,,,,,,,,,,,,3.34,,,,,,,,,,,,,,,,,24.9,,,,,,0.446,,,,,0.421,,
"Cabbage, for head (with outer leaves)",Brassica oleracea,BROL,"N,P,K",Head (terminal bud and leaves),Vegetable,lb of leaf,1,90.8,3.454468085,0.354787234,2.727730497,50,,,,,,,,,,,,,,,,9.4,,9.2,9,,,,,,,,,,,,,,,9.2,,3.344,3.296,,,,,,,,,3.723404255,,,,,,,,,,,,,,,,,,,,,,0.319148936,,0.37,0.35,,,,,0.38,,,,,,,,,,,,,,,,2.553191489,,2.82,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,20.6,,,,,,,,,,,,,,,,0.35,0.03,,,,,0.24,,,,
"Cabbage, for head (without outer leaves)",Brassica oleracea,BROL,"N,P,K",Head (terminal bud and leaves),Vegetable,lb of leaf,1,91.7,3.034245614,0.384912281,3.163157895,50,,,,,,,,,,,,,,,,7.6,8.7,8.6,,,,,,,,,,,,,,,,8.3,2.912,3.296,,,,,,,,,,2.894736842,,,,,,,,,,,,,,,,,,,,,,0.394736842,0.39,0.37,,,,,,,,,,,,,,,,,,,,,,3.289473684,3.29,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,20.6,,,,,,,,,,,,,,,,,0.22,0.03,,,,,0.25,,,,
"Cabbage, for waste (outer leaves)",Brassica oleracea,BROL,"N,P",Leaf,Vegetable,lb of leaf,1,85.75,2.664556962,0.21,#DIV/0!,1,,,,,,,,,,,,,,,,15.8,14.8,12.4,14,,,,,,,,,,,,,,,14.25,2.304,2.88,2.816,,,,,,,,,2.658227848,,,,,,,,,,,,,,,,,,,,,,,0.21,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,18,17.6,,,,,,,,,,,,,,,,0.42,,,,,,,,,,
Cabbage-Chinese,Brassica oleracea,BROL,"N,P,K",Leaf and petiole,Vegetable,lb of leaf,1,93,3.085714286,0.485714286,2.928571429,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,3.085714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.485714286,,,,,,,,,,,,,,,,,,,,,,,,2.928571429,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,1.35,,,,,,0.034,,,,,0.205,
Cabbage-Red,Brassica oleracea,BROL,"N,P,K",Head (terminal bud and leaves),Vegetable,lb of leaf,1,92,2.8,0.525,2.375,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.525,,,,,,,,,,,,,,,,,,,,,,,,2.375,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,1.4,,,,,,0.042,,,,,0.19,
Cabbage-White,Brassica oleracea,BROL,"N,P,K",Head (terminal bud and leaves),Vegetable,lb of leaf,1,92,2.4,0.425,2.75,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.425,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,1.2,,,,,,0.034,,,,,0.22,
"Canarygrass-Reed, for green chop",Phalaris arundinacea,PHAR3,"N,P,K",Aboveground biomass,Forage,ton,2000,75.8,2.424,0.33,3.64,"2,000",,,,,,,,,,,,,,,,,25.4,,23,,,,,,,,,,,,,,,24.2,2.752,,2.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,0.33,,,,,,,,,,,,,,,,,,,,,,3.64,,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for green chop (early bloom)",Phalaris arundinacea,PHAR3,"N,P",Aboveground biomass,Forage,ton,2000,76.1,2.12,0.2,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,25.5,22.3,,,,,,,,,,,,,,,,23.9,1.648,2.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry (sweet),Prunus avium,PRAV,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.38,1.073960499,0.098752599,1.164241164,18,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,19.24,,,18.62,,,,,,,,0.997920998,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,0.098752599,,,,,,,,,,,,,,,,,,,,,,,,1.164241164,,,,,,,,,,,,,,,,,,82,,,,80.76,,,,,,,,,,,,,,,,,1.2,,,,,,0.019,,,,,0.224,,,
Chestnut-Chinese,Castanea mollissima,CAMO83,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,43.95,1.198929527,0.171275647,0.79750223,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.05,,56.05,,,,,,,,,1.198929527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171275647,,,,,,,,,,,,,,,,,,,,,,,,0.79750223,,,,,,,,,,,,,,,,,,,,,,43.95,,,,,,,,,,,,,,,,,4.2,,,,,,0.096,,,,,0.447,,
Chestnut-European,Castanea sativa,CASA27,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,48.65,0.754040896,0.181110029,1.008763389,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.35,,51.35,,,,,,,,,0.754040896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181110029,,,,,,,,,,,,,,,,,,,,,,,,1.008763389,,,,,,,,,,,,,,,,,,,,,,48.65,,,,,,,,,,,,,,,,,2.42,,,,,,0.093,,,,,0.518,,
Chestnut-Japanese,Castanea crenata,CACR27,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,61.41,0.932884167,0.186576833,0.852552475,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.59,,38.59,,,,,,,,,0.932884167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186576833,,,,,,,,,,,,,,,,,,,,,,,,0.852552475,,,,,,,,,,,,,,,,,,,,,,61.41,,,,,,,,,,,,,,,,,2.25,,,,,,0.072,,,,,0.329,,
"Chicory, for green chop",Cichorium,CICHO,N,Aboveground biomass,Forage,ton,2000,82.6,0.0352,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,17.4,,,,,,,,,,,,,,,,,17.4,0.0352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chive,Allium schoenoprasum,ALSC,"N,P,K",Leaf,Vegetable,lb of leaf,1,92,5.6,0.6375,3.125,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6375,,,,,,,,,,,,,,,,,,,,,,,,3.125,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,2.8,,,,,,0.051,,,,,0.25,
"Clover + Timothy, for hay","Trifolium sp., Phleum pratense","TRIFO, PHPR3","N,P,K",Aboveground biomass,Forage,ton,2000,11.1,1.488,0.17,1.81,"2,000",,,,,,,,,,,,,,,,,88.9,,,,,,,,,,,,,,,,,88.9,1.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for hay (vegetative)",Phalaris arundinacea,PHAR3,"N,P",Aboveground biomass,Forage,ton,2000,8.25,2.64,0.24,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,91.7,91.8,,,,,,,,,,,,,,,,91.75,2.384,2.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canola, for seed",Brassica sp.,BRASS2,"N,P,K",Seed,Cereal and oil,cwt,100,8.93,3.888736648,0.62,0.98,100,,,,,,,,,,,,,,,,90.5,90.5,92.2,,,,,,,,,,,,,,,,91.07,3.6,4.464,,,,,,,,,,3.602209945,,,,,,,,,,,,,,,,,,,,,,,0.61,0.63,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,27.9,,,,,,,,,,,,,,,,,3.26,,,,,,,,,,
"Canola, for straw",Brassica sp.,BRASS2,N,Straw,Cereal and oil,lb straw/cwt grain,236,20.3,0.56,#DIV/0!,#DIV/0!,,,239,,233,,,,,,,,,,,,,79.7,,,,,,,,,,,,,,,,,79.7,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carambola,Averrhoa carambola,AVCA,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,90.92,0.95154185,0.176211454,1.795154185,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.08,,,9.08,,,,,,,,0.95154185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176211454,,,,,,,,,,,,,,,,,,,,,,,,1.795154185,,,,,,,,,,,,,,,,,,,,,,90.92,,,,,,,,,,,,,,,,,0.54,,,,,,0.016,,,,,0.163,,,
Carissa,Carissa macrocarpa,CAMA37,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,84.17,0.505369551,0.044219836,1.642451042,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.83,,,15.83,,,,,,,,0.505369551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044219836,,,,,,,,,,,,,,,,,,,,,,,,1.642451042,,,,,,,,,,,,,,,,,,,,,,84.17,,,,,,,,,,,,,,,,,0.5,,,,,,0.007,,,,,0.26,,,
"Carrot, for root",Daucus carota ssp. sativus,DACAS,"N,P,K",Root,Vegetable,lb of root,1,88,1.510773109,0.328355742,2.430168067,25,,,,,,,,,,,,,,,,11.9,12.9,11.7,11,,,,,,,,12,,,,,,12.5,12,1.648,1.568,1.6,,,,,,,1.152,,1.596638656,1.5,,,,,,,,,,,,,,,,,,,,,0.336134454,0.32,0.33,0.35,,,0.304,,0.33,,,,,,,,,,,,,,,,2.100840336,2.5,2.63,2.8,,,2.12,,,,,,,,,,,,,,,,88,,,,,,87.5,10.3,9.8,10,,,,,,,,,,,,,,0.9,,0.19,0.04,,,0.038,,0.25,,,0.265,
"Canarygrass-Reed, for green chop (mature)",Phalaris arundinacea,PHAR3,"N,P",Aboveground biomass,Forage,ton,2000,70,1.248,0.2,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,30,1.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for green chop (mid bloom)",Phalaris arundinacea,PHAR3,"N,P,K",Aboveground biomass,Forage,ton,2000,74.7,1.984,0.28,2.4,"2,000",,,,,,,,,,,,,,,,,27.7,22.9,,,,,,,,,,,,,,,,25.3,1.984,1.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for green chop (vegetative)",Phalaris arundinacea,PHAR3,"N,P,K",Aboveground biomass,Forage,ton,2000,76.25,2.528,0.4,3.31,"2,000",,,,,,,,,,,,,,,,,24.5,23,,,,,,,,,,,,,,,,23.75,3.056,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.31,,,,,,,,,,,,,,,,,,,,,,,3.64,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for hay",Phalaris arundinacea,PHAR3,"N,P,K",Aboveground biomass,Forage,ton,2000,10.97,1.701333333,0.283333333,2.99,"2,000",,,,,,,,,,,,,,,,,88.8,89.3,89,,,,,,,,,,,,,,,89.03,1.84,1.632,1.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.24,0.36,,,,,,,,,,,,,,,,,,,,,,3.15,2.91,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,10.2,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for hay (early bloom)",Phalaris arundinacea,PHAR3,"N,P,K",Aboveground biomass,Forage,ton,2000,8.1,2.184,0.47,2.62,"2,000",,,,,,,,,,,,,,,,,91.5,92.3,,,,,,,,,,,,,,,,91.9,1.792,2.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.47,,,,,,,,,,,,,,,,,,,,,,,2.62,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for hay (mature)",Phalaris arundinacea,PHAR3,"N,P",Aboveground biomass,Forage,ton,2000,7.9,1.424,0.145,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,91.5,92.7,,,,,,,,,,,,,,,,92.1,,1.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for hay (mid bloom)",Phalaris arundinacea,PHAR3,"P,K",Aboveground biomass,Forage,ton,2000,8.1,#DIV/0!,0.31,2.07,"2,000",,,,,,,,,,,,,,,,,91.9,,,,,,,,,,,,,,,,,91.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carrot, for top",Daucus carota ssp. sativus,DACAS,"N,P,K",Stem and leaves,Vegetable,lb of stem and leaf,1,83.83,2.349666667,0.1875,1.875,1,,,,,,,,,,,,,,,,16,16.5,,,,,,,,,,16,,,,,,,16.17,2.624,,,,,,,,,,,2.125,2.3,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,1.875,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,16.4,,,,,,,,,,,,,,,,,,0.34,0.03,,,,,0.3,,,,
"Cauliflower, for immature inflorescence",Brassica oleracea var. botrytis,BROLB,"N,P,K",Inflorescence,Vegetable,lb of fruit ,1,90.88,4.42631579,0.664473684,3.22,50,,,,,,,,,,,,,,,,,9,,9,,,,,,,,9,,,,,,9.5,9.13,4.8,,4.8,,,,,,,3.705263158,,,4.4,,,,,,,,,,,,,,,,,,,,,,0.67,,0.67,,,0.557894737,,0.76,,,,,,,,,,,,,,,,,3.33,,3.33,,,3,,,,,,,,,,,,,,,,91,,,,,,90.5,30,,30,,,,,,,,,,,,,,2.2,,,,,,0.053,,,,,0.285,
Celery-Green,Apium graveolens var. dulce,APGRD,"N,P,K",Petiole,Vegetable,lb of stem ,1,94.55,2.424,0.66,4.8,60,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,5,5.45,1.968,,,,,,,,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,0.64,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,95,12.3,,,,,,,,,,,,,,,,0.9,,,,,,0.034,,,,,0.24,
Celery-Self-blanching,Apium graveolens var. dulce,APGRD,"N,P,K",Petiole,Vegetable,lb of stem ,1,96,2.8,0.675,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.675,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,0.7,,,,,,0.027,,,,,0.16,
"Chard-Swiss, for immature leaf",Beta vulgaris ssp. cicla,BEVUC,"N,P,K",Leaf,Vegetable,lb of leaf,1,92,3.6,0.575,3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.575,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,1.8,,,,,,0.046,,,,,0.24,
